,cliente_id,recommender,ndcg_score,proporcion_rock
41,cyberangel0,top_rating_1,0.0,0.3333333333333333
42,cyberangel0,"top_rating,listeners_1",0.0,0.6666666666666666
43,cyberangel0,whoosh_based_1,0.0,0.0
44,cyberangel0,surprise_based_1,0.0,0.5
45,tamalebytyler,top_listeners_1,0.0,1.0
46,tamalebytyler,top_rating_1,0.0,0.3333333333333333
47,tamalebytyler,"top_rating,listeners_1",0.0,0.6666666666666666
48,tamalebytyler,whoosh_based_1,0.0,0.0
49,tamalebytyler,surprise_based_1,0.0,0.5
50,marjanne9,top_listeners_1,0.0,1.0
51,marjanne9,top_rating_1,0.0,0.3333333333333333
52,marjanne9,"top_rating,listeners_1",0.0,0.6666666666666666
53,marjanne9,whoosh_based_1,0.0,0.0
54,marjanne9,surprise_based_1,0.0,0.16666666666666666
55,verbalvandal,top_listeners_1,0.0,1.0
56,verbalvandal,top_rating_1,0.0,0.3333333333333333
57,verbalvandal,"top_rating,listeners_1",0.0,0.6666666666666666
58,verbalvandal,whoosh_based_1,0.0,0.16666666666666666
59,verbalvandal,surprise_based_1,0.11706259313796354,0.3333333333333333
60,Astasia_Ben,top_listeners_1,0.0,1.0
61,Astasia_Ben,top_rating_1,0.0,0.3333333333333333
62,Astasia_Ben,"top_rating,listeners_1",0.0,0.6666666666666666
63,Astasia_Ben,whoosh_based_1,0.0,0.0
64,Astasia_Ben,surprise_based_1,0.0,0.5
65,fabrirocha,top_listeners_1,0.0,1.0
66,fabrirocha,top_rating_1,0.0,0.3333333333333333
67,fabrirocha,"top_rating,listeners_1",0.0,0.6666666666666666
68,fabrirocha,whoosh_based_1,0.0,1.0
69,fabrirocha,surprise_based_1,0.0,0.5
70,tavitooo,top_listeners_1,0.0,1.0
71,tavitooo,top_rating_1,0.0,0.3333333333333333
72,tavitooo,"top_rating,listeners_1",0.0,0.6666666666666666
73,tavitooo,whoosh_based_1,0.0,0.16666666666666666
74,tavitooo,surprise_based_1,0.0,0.5
75,FlanorlerII,top_listeners_1,0.0,1.0
76,FlanorlerII,top_rating_1,0.0,0.3333333333333333
77,FlanorlerII,"top_rating,listeners_1",0.0,0.6666666666666666
78,FlanorlerII,whoosh_based_1,0.0,0.0
79,FlanorlerII,surprise_based_1,0.0,0.5
80,Jacqueline789,top_listeners_1,0.0,1.0
